
                     TIME        CJC       TC-1       TC-2       TC-3       TC-4       TC-5      Short   Humidity
Mon Oct 08 00:00:44 2018      24.64      22.55      23.16      23.29      23.05      23.02      24.20      67.48
Mon Oct 08 00:01:44 2018      24.61      22.48      23.16      23.30      22.94      22.95      24.17      67.45
Mon Oct 08 00:02:44 2018      24.63      22.41      23.16      23.29      22.96      22.97      24.18      67.47
Mon Oct 08 00:03:44 2018      24.63      22.53      23.17      23.26      23.04      22.97      24.20      67.48
Mon Oct 08 00:04:44 2018      24.61      22.53      23.13      23.32      22.95      22.92      24.19      67.48
Mon Oct 08 00:05:44 2018      24.61      22.50      23.17      23.30      23.03      23.01      24.20      67.48
Mon Oct 08 00:06:44 2018      24.63      22.42      23.16      23.32      22.97      22.95      24.16      67.44
Mon Oct 08 00:07:44 2018      24.62      22.47      23.18      23.29      22.97      22.96      24.19      67.44
Mon Oct 08 00:08:44 2018      24.61      22.47      23.17      23.26      22.96      22.97      24.19      67.44
Mon Oct 08 00:09:44 2018      24.63      22.47      23.15      23.28      23.01      22.98      24.20      67.46
Mon Oct 08 00:10:44 2018      24.63      22.51      23.18      23.29      22.99      22.93      24.18      67.43
Mon Oct 08 00:11:44 2018      24.62      22.52      23.24      23.27      23.00      23.01      24.19      67.43
Mon Oct 08 00:12:44 2018      24.64      22.46      23.16      23.30      22.95      22.93      24.16      67.44
Mon Oct 08 00:13:44 2018      24.65      22.59      23.21      23.28      22.99      22.99      24.21      67.43
Mon Oct 08 00:14:44 2018      24.61      22.51      23.21      23.25      23.03      23.01      24.23      67.43
Mon Oct 08 00:15:44 2018      24.62      22.55      23.20      23.27      22.99      22.94      24.20      67.43
Mon Oct 08 00:16:44 2018      24.65      22.53      23.20      23.27      23.02      23.00      24.19      67.43
Mon Oct 08 00:17:44 2018      24.64      22.48      23.16      23.34      22.99      22.94      24.22      67.43
Mon Oct 08 00:18:44 2018      24.64      22.47      23.22      23.28      23.00      22.98      24.23      67.43
Mon Oct 08 00:19:44 2018      24.63      22.53      23.21      23.34      23.04      23.00      24.22      67.43
Mon Oct 08 00:20:44 2018      24.65      22.43      23.20      23.28      22.98      23.04      24.17      67.43
Mon Oct 08 00:21:44 2018      24.62      22.52      23.22      23.32      22.95      22.92      24.23      67.43
Mon Oct 08 00:22:44 2018      24.64      22.53      23.19      23.28      23.00      23.00      24.20      67.43
Mon Oct 08 00:23:44 2018      24.64      22.55      23.19      23.31      23.00      22.94      24.18      67.39
Mon Oct 08 00:24:44 2018      24.65      22.54      23.18      23.30      23.03      22.95      24.21      67.38
Mon Oct 08 00:25:44 2018      24.62      22.44      23.16      23.27      22.96      23.03      24.23      67.38
Mon Oct 08 00:26:44 2018      24.63      22.50      23.22      23.33      23.00      23.07      24.23      67.41
Mon Oct 08 00:27:44 2018      24.62      22.54      23.17      23.25      22.97      23.02      24.19      67.40
Mon Oct 08 00:28:44 2018      24.65      22.46      23.19      23.29      23.00      22.98      24.21      67.39
Mon Oct 08 00:29:44 2018      24.62      22.44      23.20      23.33      22.96      22.94      24.21      67.43
Mon Oct 08 00:30:44 2018      24.62      22.50      23.19      23.32      22.93      22.93      24.23      67.39
Mon Oct 08 00:31:44 2018      24.62      22.47      23.17      23.33      22.96      23.02      24.24      67.40
Mon Oct 08 00:32:44 2018      24.63      22.52      23.14      23.29      22.93      22.90      24.20      67.43
Mon Oct 08 00:33:44 2018      24.63      22.44      23.15      23.32      22.98      22.98      24.24      67.43
Mon Oct 08 00:34:44 2018      24.62      22.47      23.22      23.32      22.94      22.91      24.19      67.39
Mon Oct 08 00:35:44 2018      24.62      22.50      23.13      23.32      22.96      22.88      24.20      67.43
Mon Oct 08 00:36:44 2018      24.66      22.45      23.17      23.32      22.96      22.96      24.21      67.38
Mon Oct 08 00:37:44 2018      24.64      22.49      23.09      23.29      22.96      22.94      24.21      67.38
Mon Oct 08 00:38:44 2018      24.65      22.50      23.17      23.26      23.00      23.01      24.23      67.43
Mon Oct 08 00:39:44 2018      24.66      22.45      23.14      23.28      23.01      22.97      24.18      67.43
Mon Oct 08 00:40:44 2018      24.66      22.59      23.15      23.29      23.03      22.96      24.16      67.39
Mon Oct 08 00:41:44 2018      24.65      22.51      23.12      23.29      23.04      23.04      24.22      67.41
Mon Oct 08 00:42:44 2018      24.64      22.51      23.14      23.27      23.03      23.00      24.21      67.38
Mon Oct 08 00:43:44 2018      24.63      22.45      23.11      23.30      23.05      22.92      24.18      67.38
Mon Oct 08 00:44:44 2018      24.64      22.52      23.11      23.28      23.03      23.00      24.19      67.39
Mon Oct 08 00:45:44 2018      24.64      22.50      23.11      23.26      23.00      22.93      24.22      67.38
Mon Oct 08 00:46:44 2018      24.63      22.48      23.17      23.29      22.99      22.93      24.19      67.38
Mon Oct 08 00:47:44 2018      24.63      22.50      23.12      23.25      23.00      23.01      24.20      67.38
Mon Oct 08 00:48:44 2018      24.62      22.42      23.16      23.26      23.02      22.98      24.20      67.38
Mon Oct 08 00:49:44 2018      24.63      22.47      23.13      23.30      22.97      22.94      24.17      67.43
Mon Oct 08 00:50:44 2018      24.61      22.43      23.08      23.28      23.00      22.91      24.22      67.39
Mon Oct 08 00:51:44 2018      24.64      22.42      23.14      23.24      22.98      22.98      24.19      67.46
Mon Oct 08 00:52:44 2018      24.64      22.43      23.12      23.27      23.04      23.02      24.21      67.48
Mon Oct 08 00:53:44 2018      24.65      22.46      23.13      23.27      23.00      22.99      24.18      67.39
Mon Oct 08 00:54:43 2018      24.66      22.45      23.09      23.24      23.04      23.04      24.19      67.36
Mon Oct 08 00:55:44 2018      24.64      22.49      23.10      23.27      23.02      23.01      24.15      67.34
Mon Oct 08 00:56:44 2018      24.62      22.56      23.08      23.25      23.02      23.02      24.20      67.43
Mon Oct 08 00:56:44 2018      24.63      22.56      23.08      23.25      23.02      23.01      24.21      67.43
Mon Oct 08 00:58:43 2018      24.63      22.42      23.09      23.29      23.01      22.96      24.17      67.43
Mon Oct 08 00:59:44 2018      24.64      22.39      23.11      23.28      22.98      23.02      24.16      67.39
Mon Oct 08 01:00:44 2018      24.63      22.51      23.10      23.26      22.96      22.89      24.18      67.37
